/home/lucas_rayder7/autoresearch/TestCLI/train.py:251: UserWarning: Argument(s) 'var_limit' are not valid for transform GaussNoise
  A.GaussNoise(var_limit=(5.0, 15.0), p=0.3),
Data: xView2 directory already exists at content/data/xview2_jpeg
Metadata: Normalization statistics already cached at content/data/dataset_stats.json
Engine starting on: cuda. Configuration: {'in_channels': 6, 'f1': 32, 'f2': 64, 'f3': 128, 'f4': 256, 'f5': 512}

Step 00103 (8.8%) | Smooth Loss: 2.82005 | Img/sec: 20 | Elapsed: 79s
Step 00104 (8.9%) | Smooth Loss: 2.79511 | Img/sec: 20 | Elapsed: 80s
Step 00105 (9.0%) | Smooth Loss: 2.81392 | Img/sec: 20 | Elapsed: 81s
Step 00106 (9.1%) | Smooth Loss: 2.77452 | Img/sec: 20 | Elapsed: 81s
Step 00107 (9.1%) | Smooth Loss: 2.71624 | Img/sec: 20 | Elapsed: 82s
Step 00108 (9.2%) | Smooth Loss: 2.64291 | Img/sec: 20 | Elapsed: 83s
Step 00109 (9.3%) | Smooth Loss: 2.66107 | Img/sec: 20 | Elapsed: 84s
Step 00110 (9.4%) | Smooth Loss: 2.67895 | Img/sec: 20 | Elapsed: 85s
Step 00111 (9.5%) | Smooth Loss: 2.65393 | Img/sec: 20 | Elapsed: 85s
Step 00112 (9.8%) | Smooth Loss: 2.70710 | Img/sec: 5 | Elapsed: 88s
Step 00113 (9.9%) | Smooth Loss: 2.62654 | Img/sec: 20 | Elapsed: 89s
Step 00114 (10.0%) | Smooth Loss: 2.55512 | Img/sec: 20 | Elapsed: 90s
Step 00115 (10.1%) | Smooth Loss: 2.53797 | Img/sec: 20 | Elapsed: 91s
Step 00116 (10.2%) | Smooth Loss: 2.52663 | Img/sec: 20 | Elapsed: 92s
Step 00117 (10.3%) | Smooth Loss: 2.57238 | Img/sec: 20 | Elapsed: 92s
Step 00118 (10.3%) | Smooth Loss: 2.62876 | Img/sec: 20 | Elapsed: 93s
Step 00119 (10.4%) | Smooth Loss: 2.75852 | Img/sec: 20 | Elapsed: 94s
Step 00120 (10.5%) | Smooth Loss: 2.84476 | Img/sec: 20 | Elapsed: 95s
Step 00121 (10.6%) | Smooth Loss: 2.78566 | Img/sec: 20 | Elapsed: 95s
Step 00122 (10.7%) | Smooth Loss: 2.80229 | Img/sec: 20 | Elapsed: 96s
Step 00123 (10.8%) | Smooth Loss: 2.76645 | Img/sec: 20 | Elapsed: 97s
Step 00124 (10.9%) | Smooth Loss: 2.81053 | Img/sec: 20 | Elapsed: 98s
Step 00125 (10.9%) | Smooth Loss: 2.76137 | Img/sec: 20 | Elapsed: 99s
Step 00126 (11.0%) | Smooth Loss: 2.79310 | Img/sec: 20 | Elapsed: 99s
Step 00127 (11.1%) | Smooth Loss: 2.79637 | Img/sec: 20 | Elapsed: 100s
Step 00128 (11.2%) | Smooth Loss: 2.80195 | Img/sec: 20 | Elapsed: 101s
Step 00129 (11.3%) | Smooth Loss: 2.80298 | Img/sec: 20 | Elapsed: 102s
Step 00130 (11.4%) | Smooth Loss: 2.78990 | Img/sec: 20 | Elapsed: 102s
Step 00131 (11.5%) | Smooth Loss: 2.80690 | Img/sec: 20 | Elapsed: 103s
Step 00132 (11.6%) | Smooth Loss: 2.79154 | Img/sec: 20 | Elapsed: 104s
Step 00133 (11.6%) | Smooth Loss: 2.74461 | Img/sec: 20 | Elapsed: 105s
Step 00134 (11.7%) | Smooth Loss: 2.74914 | Img/sec: 20 | Elapsed: 106s
Step 00135 (11.8%) | Smooth Loss: 2.68427 | Img/sec: 20 | Elapsed: 106s
Step 00136 (11.9%) | Smooth Loss: 2.68625 | Img/sec: 20 | Elapsed: 107s
Step 00137 (12.0%) | Smooth Loss: 2.65960 | Img/sec: 20 | Elapsed: 108s
Step 00138 (12.1%) | Smooth Loss: 2.64249 | Img/sec: 20 | Elapsed: 109s
Step 00139 (12.2%) | Smooth Loss: 2.61720 | Img/sec: 20 | Elapsed: 109s
Step 00140 (12.2%) | Smooth Loss: 2.56690 | Img/sec: 20 | Elapsed: 110s
Step 00141 (12.3%) | Smooth Loss: 2.53477 | Img/sec: 20 | Elapsed: 111s
Step 00142 (12.4%) | Smooth Loss: 2.45419 | Img/sec: 20 | Elapsed: 112s
Step 00143 (12.5%) | Smooth Loss: 2.38782 | Img/sec: 20 | Elapsed: 113s
Step 00144 (12.6%) | Smooth Loss: 2.35795 | Img/sec: 20 | Elapsed: 113s
Step 00145 (12.7%) | Smooth Loss: 2.32457 | Img/sec: 20 | Elapsed: 114s
Step 00146 (12.8%) | Smooth Loss: 2.35911 | Img/sec: 20 | Elapsed: 115s
Step 00147 (12.9%) | Smooth Loss: 2.46179 | Img/sec: 20 | Elapsed: 116s
Step 00148 (12.9%) | Smooth Loss: 2.58330 | Img/sec: 20 | Elapsed: 116s
Step 00149 (13.0%) | Smooth Loss: 2.71803 | Img/sec: 20 | Elapsed: 117s
